Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7u,C_0402_1005Metric,13.391011,26.963,0.0,top
C2,1u,C_0402_1005Metric,13.391011,25.763,0.0,top
C3,4.7u,C_0402_1005Metric,25.175,25.751,90.0,top
C4,1u,C_0402_1005Metric,22.775,25.751,90.0,top
C5,4.7u,C_0402_1005Metric,16.191011,21.763,-90.0,top
C6,1u,C_0402_1005Metric,14.991011,21.763,-90.0,top
C7,4.7u,C_0402_1005Metric,8.191011,21.763,-90.0,top
C8,1u,C_0402_1005Metric,9.391011,21.763,-90.0,top
C9,100n,C_0402_1005Metric,21.725,30.093,180.0,top
C10,100n,C_0402_1005Metric,46.075,13.151,90.0,top
C11,100n,C_0402_1005Metric,44.875,13.165,-90.0,top
C12,100n,C_0402_1005Metric,6.075,17.683,-90.0,top
D1,1N4148WT,D_SOD-523,14.2875,9.525,-90.0,top
D2,1N4148WT,D_SOD-523,23.8125,9.525,-90.0,top
D3,1N4148WT,D_SOD-523,33.3375,9.525,-90.0,top
D4,1N4148WT,D_SOD-523,42.8625,9.525,-90.0,top
D5,1N4148WT,D_SOD-523,14.2875,-9.525,-90.0,top
D6,1N4148WT,D_SOD-523,23.8125,-9.525,-90.0,top
D7,1N4148WT,D_SOD-523,33.3375,-9.525,-90.0,top
D8,1N4148WT,D_SOD-523,42.8625,-9.525,-90.0,top
D9,1N4148WT,D_SOD-523,14.2875,-28.575,-90.0,top
D10,1N4148WT,D_SOD-523,23.8125,-28.575,-90.0,top
D11,1N4148WT,D_SOD-523,33.3375,-28.575,-90.0,top
D12,1N4148WT,D_SOD-523,14.2875,-47.625,-90.0,top
D13,1N4148WT,D_SOD-523,23.8125,-47.625,-90.0,top
D14,1N4148WT,D_SOD-523,33.3375,-47.625,-90.0,top
D15,1N4148WT,D_SOD-523,42.8625,-47.625,-90.0,top
D16,1N4148WT,D_SOD-523,33.3375,-66.675,-90.0,top
D17,1N4148WT,D_SOD-523,42.8625,-66.675,-90.0,top
F1,500mA,Fuse_0603_1608Metric,23.975,28.557,-90.0,top
F2,500mA,Fuse_0603_1608Metric,8.016011,23.563,0.0,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,28.575,37.663,180.0,top
J2,BAT,Molex_PicoBlade_53048-0210_1x02_P1.25mm_Horizontal,18.6,13.853,180.0,bottom
J4,ext,Molex_PicoBlade_53048-0710_1x07_P1.25mm_Horizontal,9.475,13.853,180.0,bottom
L1,BLM15PX121SN1D,L_0402_1005Metric,23.975,25.751,-90.0,top
L2,BLM15PX121SN1D,L_0402_1005Metric,21.725,28.893,0.0,top
Q1,AO3401A,SOT-23,30.575,12.651,90.0,top
Q2,2N7002,SOT-23,36.075,12.651,90.0,top
R1,5k1,R_0402_1005Metric,17.325,31.290427,180.0,top
R2,5k1,R_0402_1005Metric,14.625,31.290427,180.0,top
R3,10k,R_0402_1005Metric,8.991011,24.963,180.0,top
R4,22k,R_0402_1005Metric,10.991011,26.963,180.0,top
R5,2k2,R_0402_1005Metric,14.991011,24.163,90.0,top
R6,2k2,R_0402_1005Metric,10.991011,25.763,180.0,top
R7,10k,R_0402_1005Metric,13.691011,19.663,-90.0,top
R8,1M,R_0402_1005Metric,21.725,31.293,180.0,top
R9,5k1,R_0402_1005Metric,44.867893,15.411,-90.0,top
R10,5k1,R_0402_1005Metric,46.067893,15.411,-90.0,top
R11,10k,R_0402_1005Metric,33.375,13.651,90.0,top
R12,100R,R_0402_1005Metric,46.067893,19.601,90.0,top
R13,10k,R_0402_1005Metric,44.867893,19.601,90.0,top
U1,BQ24075RGT,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,12.191011,22.963,0.0,top
U2,SRV05-4,SOT-23-6,28.075,23.663,0.0,top
U3,MAX17048,DFN-8-1EP_2x2mm_P0.5mm_EP0.7x1.3mm,8.284761,17.203,0.0,top
